Comment,Designator,Footprint,LCSC
TPS51397ARJER,IC2,QFN-20-1EP_3x3mm_P0.45mm_EP1.6x1.6mm_ThermalVias,C1518754
1 uF,C3,C_0603_1608Metric,C15849
0.1uF,"C10,C11,C6,C7,C8",C_0402_1005Metric,C2193622
22 uF,"C1,C2",C_0805_2012Metric,C22367832
Raspberry_Pi_Header,J6,SSM-120-_-DV-BE,C22436166
JST XH 01x02,"J1,J3,J4",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C24193
10K,R8,R_0402_1005Metric,C270371
100uF,"C12,C4,C5",C_1206_3216Metric,C312983
15K,R14,R_0402_1005Metric,C319837
LM73100,"U1,U4",Texas_VQFN-HR-10_2x2mm_P0.475mm,C3210761
33K,"R1,R10,R11,R2,R5",R_0402_1005Metric,C323721
100uF,C18,CP_Elec_8x10,C3352
XMC7K24CA,D1,D_SMC,C3712593
1K,R6,R_0402_1005Metric,C409028
110K,"R12,R13,R15,R3,R7,R9",R_0402_1005Metric,C413107
180K,R4,R_0402_1005Metric,C413110
1.8 uH,L1,L_Vishay_IHLP-4040,C506636
SiA471DJ,Q1,Vishay_PowerPAK_SC70-6L_Single,C5918946
TVS0500DRV,U3,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C609571
2V 20mA,"D3,D5",LED_0603_1608Metric,C72038
BZX84-C13,D4,SOT-23,C87090
