Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22 uF,C_0805_2012Metric,59.3,-36.1,0.0,top
C10,0.1uF,C_0402_1005Metric,51.9,-14.95,0.0,top
C11,0.1uF,C_0402_1005Metric,54.8,-14.95,180.0,top
C12,100uF,C_1206_3216Metric,54.5,-10.25,0.0,top
C18,100uF,CP_Elec_8x10,51.7,-41.5,180.0,top
C2,22 uF,C_0805_2012Metric,59.3,-38.35,0.0,top
C3,1 uF,C_0603_1608Metric,54.35,-30.15,90.0,top
C4,100uF,C_1206_3216Metric,43.75,-23.75,180.0,top
C5,100uF,C_1206_3216Metric,43.75,-21.25,180.0,top
C6,0.1uF,C_0402_1005Metric,59.08,-34.4,0.0,top
C7,0.1uF,C_0402_1005Metric,42.75,-25.5,180.0,top
C8,0.1uF,C_0402_1005Metric,56.0,-34.4,180.0,top
D1,XMC7K24CA,D_SMC,49.75,-51.25,-90.0,top
D3,2V 20mA,LED_0603_1608Metric,60.6875,-22.149996,0.0,top
D4,BZX84-C13,SOT-23,58.25,-49.0,90.0,top
D5,2V 20mA,LED_0603_1608Metric,60.7,-24.399996,0.0,top
IC2,TPS51397ARJER,QFN-20-1EP_3x3mm_P0.45mm_EP1.6x1.6mm_ThermalVias,57.5,-31.5,90.0,top
J1,JST XH 01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,13.13,-53.745996,180.0,top
J3,JST XH 01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,44.75,-12.7,180.0,top
J4,JST XH 01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,61.6,-13.149996,-90.0,top
J6,Raspberry_Pi_Header,SSM-120-_-DV-BE,32.5,-4.5,90.0,top
L1,1.8 uH,L_Vishay_IHLP-4040,47.0,-31.5,180.0,top
Q1,SiA471DJ,Vishay_PowerPAK_SC70-6L_Single,54.925,-50.15,180.0,top
R1,33K,R_0402_1005Metric,61.9,-28.65,0.0,top
R10,33K,R_0402_1005Metric,48.0,-16.1,180.0,top
R11,33K,R_0402_1005Metric,59.85,-27.35,0.0,top
R12,110K,R_0402_1005Metric,60.85,-30.9,180.0,top
R13,110K,R_0402_1005Metric,57.1,-21.0,-90.0,top
R14,15K,R_0402_1005Metric,57.6,-28.1,0.0,top
R15,110K,R_0402_1005Metric,50.1,-10.55,180.0,top
R2,33K,R_0402_1005Metric,49.45,-12.1,-90.0,top
R3,110K,R_0402_1005Metric,57.25,-53.0,90.0,top
R4,180K,R_0402_1005Metric,54.35,-27.4,-90.0,top
R5,33K,R_0402_1005Metric,55.85,-27.4,90.0,top
R6,1K,R_0402_1005Metric,62.8,-20.999996,90.0,top
R7,110K,R_0402_1005Metric,59.85,-28.65,180.0,top
R8,10K,R_0402_1005Metric,62.8,-24.909996,-90.0,top
R9,110K,R_0402_1005Metric,49.45,-14.05,-90.0,top
U1,LM73100,Texas_VQFN-HR-10_2x2mm_P0.475mm,51.4,-13.0,0.0,top
U3,TVS0500DRV,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,44.25,-17.75,0.0,top
U4,LM73100,Texas_VQFN-HR-10_2x2mm_P0.475mm,55.3,-13.0,180.0,top
